source_module,target_module,source_path,target_path
mediapipeline.core.config.save_runner,mediapipeline.core.config.file_io,src/mediapipeline/core/config/save_runner.py,src/mediapipeline/core/config/file_io.py
mediapipeline.core.config.save_runner,mediapipeline.core.paths.contracts,src/mediapipeline/core/config/save_runner.py,src/mediapipeline/core/paths/contracts.py
mediapipeline.core.config.service,mediapipeline.core.config.contracts,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/contracts.py
mediapipeline.core.config.service,mediapipeline.core.config.document_runner,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/document_runner.py
mediapipeline.core.config.service,mediapipeline.core.config.load,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/load.py
mediapipeline.core.config.service,mediapipeline.core.config.path_warnings,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/path_warnings.py
mediapipeline.core.config.service,mediapipeline.core.config.preview,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/preview.py
mediapipeline.core.config.service,mediapipeline.core.config.profiles,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/profiles.py
mediapipeline.core.config.service,mediapipeline.core.config.save_runner,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/save_runner.py
mediapipeline.core.config.service,mediapipeline.core.config.settings_store,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/settings_store.py
mediapipeline.core.config.service,mediapipeline.core.config.validation,src/mediapipeline/core/config/service.py,src/mediapipeline/core/config/validation.py
mediapipeline.core.config.service,mediapipeline.core.kernel.runtime.subprocess_runner,src/mediapipeline/core/config/service.py,src/mediapipeline/core/kernel/runtime/subprocess_runner.py
mediapipeline.core.config.service,mediapipeline.core.paths.contracts,src/mediapipeline/core/config/service.py,src/mediapipeline/core/paths/contracts.py
mediapipeline.core.config.settings_facade,mediapipeline.core.config.identity,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/config/identity.py
mediapipeline.core.config.settings_facade,mediapipeline.core.config.library_profiles,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/config/library_profiles.py
mediapipeline.core.config.settings_facade,mediapipeline.core.config.profiles,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/config/profiles.py
mediapipeline.core.config.settings_facade,mediapipeline.core.config.settings_policy,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/config/settings_policy.py
mediapipeline.core.config.settings_facade,mediapipeline.core.config.settings_risk_policy,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/config/settings_risk_policy.py
mediapipeline.core.config.settings_facade,mediapipeline.core.kernel.dto_commands,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/kernel/dto_commands.py
mediapipeline.core.config.settings_facade,mediapipeline.core.kernel.dto_workspaces,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/kernel/dto_workspaces.py
mediapipeline.core.config.settings_facade,mediapipeline.core.paths.contracts,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/paths/contracts.py
mediapipeline.core.config.settings_facade,mediapipeline.core.processes.path_evidence,src/mediapipeline/core/config/settings_facade.py,src/mediapipeline/core/processes/path_evidence.py
mediapipeline.core.config.settings_helpers_facade,mediapipeline.core.config.metadata,src/mediapipeline/core/config/settings_helpers_facade.py,src/mediapipeline/core/config/metadata.py
mediapipeline.core.config.settings_patch_candidate_facade,mediapipeline.core.config.library_profiles,src/mediapipeline/core/config/settings_patch_candidate_facade.py,src/mediapipeline/core/config/library_profiles.py
mediapipeline.core.config.settings_patch_candidate_facade,mediapipeline.core.config.metadata_network,src/mediapipeline/core/config/settings_patch_candidate_facade.py,src/mediapipeline/core/config/metadata_network.py
mediapipeline.core.config.settings_patch_candidate_facade,mediapipeline.core.config.settings_patch_policy,src/mediapipeline/core/config/settings_patch_candidate_facade.py,src/mediapipeline/core/config/settings_patch_policy.py
